rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Rasa1,0.06640521,0.647267656,0.605,0.41,1,1.566199135,,,
Hivep2,0.130228801,0.64578021,0.632,0.615,1,1.564585186,,,
Robo2,0.024002072,0.64258033,0.947,0.923,1,1.561118801,,,
AC171003.1,0.006593021,0.640400509,0.289,0.051,1,1.55876183,,,
Nhlrc2,0.154238169,0.637526779,0.579,0.487,1,1.555659994,,,
Nck2,0.008349545,0.636622769,0.868,0.846,1,1.554685505,,,
1600020E01Rik,0.026438181,0.633674843,0.5,0.282,1,1.551511986,,,
H2-Q7,0.011603633,0.631782791,0.421,0.154,1,1.549478558,,,
Arhgap28,0.012370541,0.631360386,0.947,0.974,1,1.549024954,,,
Dcdc2a,0.010289836,0.629027315,0.737,0.615,1,1.546521956,,,
Cers6,0.02031658,0.62880595,0.947,0.795,1,1.546284677,,,
E130308A19Rik,0.017696778,0.627069538,0.711,0.538,1,1.544424706,,,
Dcaf5,0.145976698,0.625025519,0.368,0.231,1,1.542238104,,,
Tbc1d12,0.014098163,0.624547895,0.395,0.154,1,1.54172761,,,
Lats2,0.058091527,0.623567571,0.737,0.667,1,1.540680348,,,
Peli2,0.379164713,0.623196098,0.658,0.718,1,1.540283697,,,
Tbl1x,0.116472061,0.622847761,0.816,0.795,1,1.539911842,,,
Elf4,0.41422466,0.622234748,0.368,0.308,1,1.53925766,,,
Gabrb1,0.08310206,0.61614191,0.816,0.718,1,1.532770723,,,
Gm35188,0.296896856,0.614040125,0.526,0.462,1,1.530539338,,,
Atxn10,0.025386378,0.613803191,0.5,0.256,1,1.530287997,,,
1810062O18Rik,0.122685944,0.613775114,0.184,0.077,1,1.530258216,,,
Asic2,0.005743751,0.613387914,0.789,0.487,1,1.52984757,,,
Uqcc1,0.27125417,0.611170594,0.5,0.436,1,1.527498109,,,
Prmt7,0.040050518,0.608578722,0.158,0.026,1,1.524756347,,,
Hspa12a,0.161159147,0.607717,0.632,0.538,1,1.523845882,,,
Gm9869,0.12719625,0.607508528,0.263,0.128,1,1.5236257,,,
Yipf1,0.028621865,0.606723795,0.5,0.256,1,1.522797171,,,
Ccdc92,0.029893311,0.605953379,0.211,0.051,1,1.521984197,,,
Ube2r2,0.244724036,0.604239287,0.526,0.462,1,1.520176974,,,
Cdr2,0.033766211,0.60185868,0.447,0.231,1,1.517670581,,,
Stxbp1,0.090444332,0.601219804,0.368,0.231,1,1.516998653,,,
Ptchd4,0.128943684,0.600054004,0.763,0.692,1,1.515773305,,,
Slc39a14,0.307934098,0.597792278,0.316,0.231,1,1.513398875,,,
Sacm1l,0.24118999,0.597472273,0.579,0.513,1,1.513063225,,,
Ago3,0.088829119,0.596794154,0.658,0.564,1,1.512352197,,,
Col18a1,0.17555441,0.596110619,0.316,0.205,1,1.511635829,,,
Ackr3,0.433746656,0.594867796,0.184,0.128,1,1.510334177,,,
Katnbl1,0.053735165,0.594458307,0.421,0.231,1,1.50990555,,,
Pld1,0.068036272,0.592093932,0.763,0.667,1,1.507433054,,,
Clcn5,0.119097478,0.59181683,0.342,0.205,1,1.507143545,,,
Mtcl1,0.042856378,0.591327241,0.684,0.487,1,1.506632171,,,
Akap11,0.111116346,0.589811264,0.553,0.41,1,1.505049841,,,
Arpc5,0.282024935,0.589471566,0.237,0.154,1,1.504695503,,,
Med12l,0.240824948,0.588730551,0.632,0.513,1,1.503922841,,,
Robo1,0.695119713,0.588010643,0.342,0.308,1,1.503172567,,,
Ecpas,0.043669125,0.58650878,0.842,0.667,1,1.50160856,,,
Asb15,0.016895907,0.586136115,0.474,0.205,1,1.501220728,,,
Uaca,0.006923253,0.585048823,0.868,0.538,1,1.500089753,,,
Ptch1,0.792531947,0.584538547,0.289,0.41,1,1.499559271,,,
Lztfl1,0.047755584,0.584505693,0.421,0.205,1,1.499525123,,,
Pi4kb,0.035361581,0.58438892,0.447,0.256,1,1.499403755,,,
Gm16091,0.085892692,0.582455603,0.237,0.103,1,1.497395789,,,
Midn,0.023425199,0.581854625,0.368,0.154,1,1.496772155,,,
Tcea1,0.03870839,0.580950165,0.553,0.308,1,1.495834087,,,
Gm49336,0.025091985,0.580947904,0.289,0.103,1,1.495831743,,,
Rbms3,0.025916325,0.580833228,0.947,0.846,1,1.495712847,,,
Btbd9,0.008801259,0.580458744,0.921,0.744,1,1.495324652,,,
Eps15,0.162477302,0.580381386,0.553,0.538,1,1.495244474,,,
